Epoch | Train NLL | Val NLL | Patience | LR
  1/100 | -1.448204 | -2.124798 | 0/12 | 5.00e-04
  2/100 | -1.862914 | -2.439397 | 0/12 | 5.00e-04
  3/100 | -2.028788 | -2.355079 | 1/12 | 5.00e-04
  4/100 | -2.106230 | -2.429460 | 2/12 | 5.00e-04
  5/100 | -2.182118 | -2.599742 | 0/12 | 5.00e-04
  6/100 | -2.252603 | -2.598179 | 1/12 | 5.00e-04
  7/100 | -2.287942 | -2.642249 | 0/12 | 5.00e-04
  8/100 | -2.311243 | -2.666047 | 0/12 | 5.00e-04
  9/100 | -2.350711 | -2.742210 | 0/12 | 5.00e-04
 10/100 | -2.375309 | -2.743957 | 0/12 | 5.00e-04
 11/100 | -2.403251 | -2.793588 | 0/12 | 5.00e-04
 12/100 | -2.413317 | -2.829806 | 0/12 | 5.00e-04
 13/100 | -2.444124 | -2.826954 | 1/12 | 5.00e-04
 14/100 | -2.437299 | -2.879410 | 0/12 | 5.00e-04
 15/100 | -2.499552 | -2.885196 | 0/12 | 5.00e-04
 16/100 | -2.522358 | -2.907039 | 0/12 | 5.00e-04
 17/100 | -2.528558 | -2.884736 | 1/12 | 5.00e-04
 18/100 | -2.547570 | -2.907655 | 0/12 | 5.00e-04
 19/100 | -2.568226 | -2.959346 | 0/12 | 5.00e-04
 20/100 | -2.584512 | -2.968177 | 0/12 | 5.00e-04
 21/100 | -2.598503 | -2.991780 | 0/12 | 5.00e-04
 22/100 | -2.620288 | -2.981263 | 1/12 | 5.00e-04
 23/100 | -2.635056 | -2.981486 | 2/12 | 5.00e-04
 24/100 | -2.644232 | -3.018251 | 0/12 | 5.00e-04
 25/100 | -2.658092 | -3.036730 | 0/12 | 5.00e-04
 26/100 | -2.674332 | -3.042894 | 0/12 | 5.00e-04
 27/100 | -2.682801 | -3.084392 | 0/12 | 5.00e-04
 28/100 | -2.691829 | -3.066042 | 1/12 | 5.00e-04
 29/100 | -2.698670 | -3.078773 | 2/12 | 5.00e-04
 30/100 | -2.708662 | -3.080779 | 3/12 | 5.00e-04
 31/100 | -2.719376 | -3.094283 | 0/12 | 5.00e-04
 32/100 | -2.728888 | -3.144903 | 0/12 | 5.00e-04
 33/100 | -2.738636 | -3.107350 | 1/12 | 5.00e-04
 34/100 | -2.747067 | -3.128444 | 2/12 | 5.00e-04
 35/100 | -2.753158 | -3.109133 | 3/12 | 5.00e-04
 36/100 | -2.760529 | -3.132469 | 4/12 | 5.00e-04
 37/100 | -2.761865 | -3.130108 | 5/12 | 5.00e-04
 38/100 | -2.765773 | -3.128141 | 6/12 | 2.50e-04
 39/100 | -2.773700 | -3.157496 | 0/12 | 2.50e-04
 40/100 | -2.781617 | -3.191138 | 0/12 | 2.50e-04
 41/100 | -2.792309 | -3.211676 | 0/12 | 2.50e-04
 42/100 | -2.800509 | -3.230039 | 0/12 | 2.50e-04
 43/100 | -2.795765 | -3.168051 | 1/12 | 2.50e-04
 44/100 | -2.799067 | -3.171100 | 2/12 | 2.50e-04
 45/100 | -2.798736 | -3.201636 | 3/12 | 2.50e-04
 46/100 | -2.800180 | -3.152795 | 4/12 | 2.50e-04
 47/100 | -2.797497 | -3.199482 | 5/12 | 2.50e-04
 48/100 | -2.813885 | -3.209475 | 6/12 | 1.25e-04
 49/100 | -2.821743 | -3.216982 | 7/12 | 1.25e-04
 50/100 | -2.824109 | -3.217425 | 8/12 | 1.25e-04
 51/100 | -2.820854 | -3.223990 | 9/12 | 1.25e-04
 52/100 | -2.824376 | -3.213879 | 10/12 | 1.25e-04
 53/100 | -2.824566 | -3.230446 | 0/12 | 1.25e-04
 54/100 | -2.826063 | -3.237234 | 0/12 | 1.25e-04
 55/100 | -2.825241 | -3.217056 | 1/12 | 1.25e-04
 56/100 | -2.825184 | -3.224641 | 2/12 | 1.25e-04
 57/100 | -2.832673 | -3.207251 | 3/12 | 1.25e-04
 58/100 | -2.827668 | -3.214918 | 4/12 | 1.25e-04
 59/100 | -2.823718 | -3.207157 | 5/12 | 1.25e-04
 60/100 | -2.829543 | -3.228861 | 6/12 | 6.25e-05
 61/100 | -2.833587 | -3.225541 | 7/12 | 6.25e-05
 62/100 | -2.827776 | -3.213176 | 8/12 | 6.25e-05
 63/100 | -2.830673 | -3.229272 | 9/12 | 6.25e-05
 64/100 | -2.836056 | -3.222806 | 10/12 | 6.25e-05
 65/100 | -2.828956 | -3.224828 | 11/12 | 6.25e-05
 66/100 | -2.837272 | -3.217702 | 12/12 | 3.13e-05
