Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.306999 | -2.269288 | 0/12 | 5.00e-04
  2/50 | -1.911888 | -2.506614 | 0/12 | 5.00e-04
  3/50 | -2.077946 | -2.451319 | 1/12 | 5.00e-04
  4/50 | -2.169410 | -2.782945 | 0/12 | 5.00e-04
  5/50 | -2.247726 | -2.748592 | 1/12 | 5.00e-04
  6/50 | -2.279987 | -2.741626 | 2/12 | 5.00e-04
  7/50 | -2.314173 | -2.817911 | 0/12 | 5.00e-04
  8/50 | -2.338980 | -2.813416 | 1/12 | 5.00e-04
  9/50 | -2.407372 | -2.945707 | 0/12 | 5.00e-04
 10/50 | -2.436215 | -2.917520 | 1/12 | 5.00e-04
 11/50 | -2.453360 | -3.016744 | 0/12 | 5.00e-04
 12/50 | -2.476454 | -2.919810 | 1/12 | 5.00e-04
 13/50 | -2.503675 | -2.952543 | 2/12 | 5.00e-04
 14/50 | -2.526306 | -3.045766 | 0/12 | 5.00e-04
 15/50 | -2.540284 | -3.056921 | 0/12 | 5.00e-04
 16/50 | -2.563955 | -3.026388 | 1/12 | 5.00e-04
 17/50 | -2.568754 | -3.006879 | 2/12 | 5.00e-04
 18/50 | -2.593903 | -3.061423 | 0/12 | 5.00e-04
 19/50 | -2.599671 | -3.097650 | 0/12 | 5.00e-04
 20/50 | -2.617347 | -3.085810 | 1/12 | 5.00e-04
 21/50 | -2.630484 | -3.088161 | 2/12 | 5.00e-04
 22/50 | -2.642690 | -3.075175 | 3/12 | 5.00e-04
 23/50 | -2.657484 | -3.163766 | 0/12 | 5.00e-04
 24/50 | -2.674040 | -3.101868 | 1/12 | 5.00e-04
 25/50 | -2.682437 | -3.116414 | 2/12 | 5.00e-04
 26/50 | -2.693922 | -3.182474 | 0/12 | 5.00e-04
 27/50 | -2.703560 | -3.180722 | 1/12 | 5.00e-04
 28/50 | -2.712597 | -3.173079 | 2/12 | 5.00e-04
 29/50 | -2.728269 | -3.148528 | 3/12 | 5.00e-04
 30/50 | -2.736257 | -3.134175 | 4/12 | 5.00e-04
 31/50 | -2.736393 | -3.143797 | 5/12 | 5.00e-04
 32/50 | -2.748771 | -3.212192 | 0/12 | 5.00e-04
 33/50 | -2.754656 | -3.190401 | 1/12 | 5.00e-04
 34/50 | -2.757538 | -3.160634 | 2/12 | 5.00e-04
 35/50 | -2.767902 | -3.233932 | 0/12 | 5.00e-04
 36/50 | -2.770128 | -3.173141 | 1/12 | 5.00e-04
 37/50 | -2.783675 | -3.212857 | 2/12 | 5.00e-04
 38/50 | -2.782372 | -3.178331 | 3/12 | 5.00e-04
 39/50 | -2.785964 | -3.220759 | 4/12 | 5.00e-04
 40/50 | -2.793808 | -3.256072 | 0/12 | 5.00e-04
 41/50 | -2.798178 | -3.192315 | 1/12 | 5.00e-04
 42/50 | -2.803064 | -3.280412 | 0/12 | 5.00e-04
 43/50 | -2.809288 | -3.268690 | 1/12 | 5.00e-04
 44/50 | -2.808880 | -3.267832 | 2/12 | 5.00e-04
 45/50 | -2.811883 | -3.236608 | 3/12 | 5.00e-04
 46/50 | -2.815917 | -3.257835 | 4/12 | 5.00e-04
 47/50 | -2.814299 | -3.197196 | 5/12 | 5.00e-04
 48/50 | -2.815229 | -3.245087 | 6/12 | 2.50e-04
 49/50 | -2.831833 | -3.264274 | 7/12 | 2.50e-04
 50/50 | -2.832978 | -3.300255 | 0/12 | 2.50e-04
