Epoch | Train NLL | Val NLL | Patience | LR
  1/100 | -1.458478 | -2.127220 | 0/12 | 5.00e-04
  2/100 | -1.842484 | -2.354037 | 0/12 | 5.00e-04
  3/100 | -2.007107 | -2.412129 | 0/12 | 5.00e-04
  4/100 | -2.089824 | -2.488816 | 0/12 | 5.00e-04
  5/100 | -2.146914 | -2.639590 | 0/12 | 5.00e-04
  6/100 | -2.204134 | -2.670186 | 0/12 | 5.00e-04
  7/100 | -2.236056 | -2.620492 | 1/12 | 5.00e-04
  8/100 | -2.279554 | -2.711443 | 0/12 | 5.00e-04
  9/100 | -2.311601 | -2.733527 | 0/12 | 5.00e-04
 10/100 | -2.333842 | -2.764460 | 0/12 | 5.00e-04
 11/100 | -2.368276 | -2.779586 | 0/12 | 5.00e-04
 12/100 | -2.381921 | -2.809039 | 0/12 | 5.00e-04
 13/100 | -2.413147 | -2.786183 | 1/12 | 5.00e-04
 14/100 | -2.447574 | -2.782154 | 2/12 | 5.00e-04
 15/100 | -2.481441 | -2.904634 | 0/12 | 5.00e-04
 16/100 | -2.505974 | -2.849646 | 1/12 | 5.00e-04
 17/100 | -2.521741 | -2.912603 | 0/12 | 5.00e-04
 18/100 | -2.541099 | -2.952249 | 0/12 | 5.00e-04
 19/100 | -2.560807 | -2.941743 | 1/12 | 5.00e-04
 20/100 | -2.578099 | -2.956264 | 0/12 | 5.00e-04
 21/100 | -2.600433 | -2.974961 | 0/12 | 5.00e-04
 22/100 | -2.598868 | -3.004926 | 0/12 | 5.00e-04
 23/100 | -2.617287 | -3.006431 | 0/12 | 5.00e-04
 24/100 | -2.624955 | -3.007847 | 0/12 | 5.00e-04
 25/100 | -2.641504 | -2.982407 | 1/12 | 5.00e-04
 26/100 | -2.661433 | -3.065799 | 0/12 | 5.00e-04
 27/100 | -2.656480 | -3.053904 | 1/12 | 5.00e-04
 28/100 | -2.685148 | -3.044559 | 2/12 | 5.00e-04
 29/100 | -2.685382 | -3.024952 | 3/12 | 5.00e-04
 30/100 | -2.692827 | -3.085063 | 0/12 | 5.00e-04
 31/100 | -2.701822 | -3.088393 | 0/12 | 5.00e-04
 32/100 | -2.703052 | -3.112063 | 0/12 | 5.00e-04
 33/100 | -2.718091 | -3.095461 | 1/12 | 5.00e-04
 34/100 | -2.727342 | -3.066370 | 2/12 | 5.00e-04
 35/100 | -2.741624 | -3.145451 | 0/12 | 5.00e-04
 36/100 | -2.751426 | -3.151478 | 0/12 | 5.00e-04
 37/100 | -2.746600 | -3.104911 | 1/12 | 5.00e-04
 38/100 | -2.755270 | -3.173986 | 0/12 | 5.00e-04
 39/100 | -2.755757 | -3.152036 | 1/12 | 5.00e-04
 40/100 | -2.759803 | -3.185858 | 0/12 | 5.00e-04
 41/100 | -2.768044 | -3.144375 | 1/12 | 5.00e-04
 42/100 | -2.770737 | -3.165686 | 2/12 | 5.00e-04
 43/100 | -2.778079 | -3.167942 | 3/12 | 5.00e-04
 44/100 | -2.770672 | -3.174834 | 4/12 | 5.00e-04
 45/100 | -2.781566 | -3.162843 | 5/12 | 5.00e-04
 46/100 | -2.782751 | -3.176027 | 6/12 | 2.50e-04
 47/100 | -2.808350 | -3.197050 | 0/12 | 2.50e-04
 48/100 | -2.804202 | -3.199834 | 0/12 | 2.50e-04
 49/100 | -2.811175 | -3.162315 | 1/12 | 2.50e-04
 50/100 | -2.806897 | -3.211816 | 0/12 | 2.50e-04
 51/100 | -2.809091 | -3.174280 | 1/12 | 2.50e-04
 52/100 | -2.810573 | -3.193670 | 2/12 | 2.50e-04
 53/100 | -2.810231 | -3.224008 | 0/12 | 2.50e-04
 54/100 | -2.809438 | -3.216117 | 1/12 | 2.50e-04
 55/100 | -2.813016 | -3.207461 | 2/12 | 2.50e-04
 56/100 | -2.819548 | -3.212839 | 3/12 | 2.50e-04
 57/100 | -2.815734 | -3.202991 | 4/12 | 2.50e-04
 58/100 | -2.824742 | -3.220964 | 5/12 | 2.50e-04
 59/100 | -2.820988 | -3.216498 | 6/12 | 1.25e-04
 60/100 | -2.826169 | -3.206708 | 7/12 | 1.25e-04
 61/100 | -2.825060 | -3.212356 | 8/12 | 1.25e-04
 62/100 | -2.827659 | -3.220885 | 9/12 | 1.25e-04
 63/100 | -2.829191 | -3.220545 | 10/12 | 1.25e-04
 64/100 | -2.833630 | -3.236632 | 0/12 | 1.25e-04
 65/100 | -2.831943 | -3.221595 | 1/12 | 1.25e-04
 66/100 | -2.829010 | -3.224225 | 2/12 | 1.25e-04
 67/100 | -2.829921 | -3.224074 | 3/12 | 1.25e-04
 68/100 | -2.834439 | -3.242275 | 0/12 | 1.25e-04
 69/100 | -2.839656 | -3.242534 | 0/12 | 1.25e-04
 70/100 | -2.836474 | -3.231487 | 1/12 | 1.25e-04
 71/100 | -2.844197 | -3.244873 | 0/12 | 1.25e-04
 72/100 | -2.843015 | -3.228252 | 1/12 | 1.25e-04
 73/100 | -2.841072 | -3.231155 | 2/12 | 1.25e-04
 74/100 | -2.844632 | -3.233649 | 3/12 | 1.25e-04
 75/100 | -2.837826 | -3.222989 | 4/12 | 1.25e-04
 76/100 | -2.844518 | -3.210978 | 5/12 | 1.25e-04
 77/100 | -2.844336 | -3.221195 | 6/12 | 6.25e-05
 78/100 | -2.842298 | -3.243682 | 7/12 | 6.25e-05
 79/100 | -2.850276 | -3.248292 | 0/12 | 6.25e-05
 80/100 | -2.840640 | -3.234285 | 1/12 | 6.25e-05
 81/100 | -2.848816 | -3.233651 | 2/12 | 6.25e-05
 82/100 | -2.849367 | -3.250659 | 0/12 | 6.25e-05
 83/100 | -2.848832 | -3.238860 | 1/12 | 6.25e-05
 84/100 | -2.849195 | -3.248667 | 2/12 | 6.25e-05
 85/100 | -2.849198 | -3.248427 | 3/12 | 6.25e-05
 86/100 | -2.848549 | -3.238237 | 4/12 | 6.25e-05
 87/100 | -2.850464 | -3.237363 | 5/12 | 6.25e-05
 88/100 | -2.846462 | -3.237461 | 6/12 | 3.13e-05
 89/100 | -2.852025 | -3.248533 | 7/12 | 3.13e-05
 90/100 | -2.849875 | -3.242239 | 8/12 | 3.13e-05
 91/100 | -2.852346 | -3.243566 | 9/12 | 3.13e-05
 92/100 | -2.852120 | -3.245257 | 10/12 | 3.13e-05
 93/100 | -2.853025 | -3.247671 | 11/12 | 3.13e-05
 94/100 | -2.852709 | -3.239654 | 12/12 | 1.56e-05
