Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.369833 | -2.028063 | 0/12 | 5.00e-04
  2/50 | -1.845826 | -2.348009 | 0/12 | 5.00e-04
  3/50 | -1.979926 | -2.471377 | 0/12 | 5.00e-04
  4/50 | -2.102917 | -2.526743 | 0/12 | 5.00e-04
  5/50 | -2.186077 | -2.687474 | 0/12 | 5.00e-04
  6/50 | -2.235954 | -2.665844 | 1/12 | 5.00e-04
  7/50 | -2.285380 | -2.729654 | 0/12 | 5.00e-04
  8/50 | -2.314530 | -2.683932 | 1/12 | 5.00e-04
  9/50 | -2.360386 | -2.770897 | 0/12 | 5.00e-04
 10/50 | -2.378236 | -2.775132 | 0/12 | 5.00e-04
 11/50 | -2.417291 | -2.820477 | 0/12 | 5.00e-04
 12/50 | -2.437274 | -2.882525 | 0/12 | 5.00e-04
 13/50 | -2.457992 | -2.856353 | 1/12 | 5.00e-04
 14/50 | -2.482416 | -2.872186 | 2/12 | 5.00e-04
 15/50 | -2.509244 | -2.889681 | 0/12 | 5.00e-04
 16/50 | -2.529481 | -2.882692 | 1/12 | 5.00e-04
 17/50 | -2.550905 | -2.840315 | 2/12 | 5.00e-04
 18/50 | -2.565864 | -2.970938 | 0/12 | 5.00e-04
 19/50 | -2.587515 | -3.031326 | 0/12 | 5.00e-04
 20/50 | -2.617488 | -3.019184 | 1/12 | 5.00e-04
 21/50 | -2.637494 | -3.009647 | 2/12 | 5.00e-04
 22/50 | -2.651066 | -3.051927 | 0/12 | 5.00e-04
 23/50 | -2.676997 | -2.989692 | 1/12 | 5.00e-04
 24/50 | -2.692645 | -3.080166 | 0/12 | 5.00e-04
 25/50 | -2.706732 | -3.053251 | 1/12 | 5.00e-04
 26/50 | -2.722227 | -3.084890 | 0/12 | 5.00e-04
 27/50 | -2.729818 | -3.140085 | 0/12 | 5.00e-04
 28/50 | -2.737504 | -3.133191 | 1/12 | 5.00e-04
 29/50 | -2.751342 | -3.135299 | 2/12 | 5.00e-04
 30/50 | -2.758966 | -3.137621 | 3/12 | 5.00e-04
 31/50 | -2.767650 | -3.145358 | 0/12 | 5.00e-04
 32/50 | -2.773751 | -3.178561 | 0/12 | 5.00e-04
 33/50 | -2.773543 | -3.134716 | 1/12 | 5.00e-04
 34/50 | -2.785073 | -3.122377 | 2/12 | 5.00e-04
 35/50 | -2.790438 | -3.160714 | 3/12 | 5.00e-04
 36/50 | -2.794734 | -3.161185 | 4/12 | 5.00e-04
 37/50 | -2.799525 | -3.164107 | 5/12 | 5.00e-04
 38/50 | -2.801299 | -3.169486 | 6/12 | 2.50e-04
 39/50 | -2.822032 | -3.216279 | 0/12 | 2.50e-04
 40/50 | -2.824231 | -3.226242 | 0/12 | 2.50e-04
 41/50 | -2.825261 | -3.234029 | 0/12 | 2.50e-04
 42/50 | -2.822846 | -3.204330 | 1/12 | 2.50e-04
 43/50 | -2.820583 | -3.221429 | 2/12 | 2.50e-04
 44/50 | -2.826650 | -3.230244 | 3/12 | 2.50e-04
 45/50 | -2.825591 | -3.223977 | 4/12 | 2.50e-04
 46/50 | -2.832164 | -3.229845 | 5/12 | 2.50e-04
 47/50 | -2.832348 | -3.209671 | 6/12 | 1.25e-04
 48/50 | -2.841513 | -3.244485 | 0/12 | 1.25e-04
 49/50 | -2.836615 | -3.233392 | 1/12 | 1.25e-04
 50/50 | -2.836946 | -3.234785 | 2/12 | 1.25e-04
