Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.298072 | -1.881363 | 0/12 | 5.00e-04
  2/50 | -1.791289 | -2.265786 | 0/12 | 5.00e-04
  3/50 | -1.963788 | -2.366625 | 0/12 | 5.00e-04
  4/50 | -2.075018 | -2.559331 | 0/12 | 5.00e-04
  5/50 | -2.117289 | -2.625763 | 0/12 | 5.00e-04
  6/50 | -2.175976 | -2.597308 | 1/12 | 5.00e-04
  7/50 | -2.218157 | -2.616602 | 2/12 | 5.00e-04
  8/50 | -2.259944 | -2.612515 | 3/12 | 5.00e-04
  9/50 | -2.265244 | -2.673202 | 0/12 | 5.00e-04
 10/50 | -2.321741 | -2.704865 | 0/12 | 5.00e-04
 11/50 | -2.363517 | -2.802272 | 0/12 | 5.00e-04
 12/50 | -2.383668 | -2.830807 | 0/12 | 5.00e-04
 13/50 | -2.420335 | -2.859315 | 0/12 | 5.00e-04
 14/50 | -2.438402 | -2.817394 | 1/12 | 5.00e-04
 15/50 | -2.471554 | -2.781385 | 2/12 | 5.00e-04
 16/50 | -2.494463 | -2.768985 | 3/12 | 5.00e-04
 17/50 | -2.504946 | -2.785001 | 4/12 | 5.00e-04
 18/50 | -2.532291 | -2.946555 | 0/12 | 5.00e-04
 19/50 | -2.559731 | -2.968063 | 0/12 | 5.00e-04
 20/50 | -2.590014 | -3.041725 | 0/12 | 5.00e-04
 21/50 | -2.616100 | -3.033639 | 1/12 | 5.00e-04
 22/50 | -2.635583 | -3.009958 | 2/12 | 5.00e-04
 23/50 | -2.646388 | -3.066299 | 0/12 | 5.00e-04
 24/50 | -2.659967 | -3.033394 | 1/12 | 5.00e-04
 25/50 | -2.680363 | -3.093444 | 0/12 | 5.00e-04
 26/50 | -2.691765 | -3.119368 | 0/12 | 5.00e-04
 27/50 | -2.710328 | -3.070482 | 1/12 | 5.00e-04
 28/50 | -2.728620 | -3.138114 | 0/12 | 5.00e-04
 29/50 | -2.738453 | -3.117608 | 1/12 | 5.00e-04
 30/50 | -2.732640 | -3.121428 | 2/12 | 5.00e-04
 31/50 | -2.750454 | -3.074723 | 3/12 | 5.00e-04
 32/50 | -2.758672 | -3.182728 | 0/12 | 5.00e-04
 33/50 | -2.768222 | -3.182192 | 1/12 | 5.00e-04
 34/50 | -2.774349 | -3.150588 | 2/12 | 5.00e-04
 35/50 | -2.781016 | -3.177003 | 3/12 | 5.00e-04
 36/50 | -2.781237 | -3.192158 | 0/12 | 5.00e-04
 37/50 | -2.784039 | -3.159100 | 1/12 | 5.00e-04
 38/50 | -2.786167 | -3.164143 | 2/12 | 5.00e-04
 39/50 | -2.788215 | -3.148584 | 3/12 | 5.00e-04
 40/50 | -2.796086 | -3.221971 | 0/12 | 5.00e-04
 41/50 | -2.797144 | -3.197572 | 1/12 | 5.00e-04
 42/50 | -2.800844 | -3.196222 | 2/12 | 5.00e-04
 43/50 | -2.796683 | -3.210493 | 3/12 | 5.00e-04
 44/50 | -2.803826 | -3.210579 | 4/12 | 5.00e-04
 45/50 | -2.804436 | -3.179441 | 5/12 | 5.00e-04
 46/50 | -2.810206 | -3.167880 | 6/12 | 2.50e-04
 47/50 | -2.826405 | -3.236834 | 0/12 | 2.50e-04
 48/50 | -2.838496 | -3.212424 | 1/12 | 2.50e-04
 49/50 | -2.841793 | -3.208481 | 2/12 | 2.50e-04
 50/50 | -2.843698 | -3.261252 | 0/12 | 2.50e-04
