Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -0.939087 | -1.721355 | 0/12 | 5.00e-04
  2/50 | -1.422729 | -1.737793 | 0/12 | 5.00e-04
  3/50 | -1.574355 | -1.847324 | 0/12 | 5.00e-04
  4/50 | -1.636486 | -1.869866 | 0/12 | 5.00e-04
  5/50 | -1.681370 | -1.840511 | 1/12 | 5.00e-04
  6/50 | -1.717941 | -1.904186 | 0/12 | 5.00e-04
  7/50 | -1.740852 | -1.928954 | 0/12 | 5.00e-04
  8/50 | -1.760554 | -1.859841 | 1/12 | 5.00e-04
  9/50 | -1.778559 | -1.821960 | 2/12 | 5.00e-04
 10/50 | -1.807559 | -1.902799 | 3/12 | 5.00e-04
 11/50 | -1.833330 | -1.845977 | 4/12 | 5.00e-04
 12/50 | -1.851992 | -1.860821 | 5/12 | 5.00e-04
 13/50 | -1.867699 | -1.913725 | 6/12 | 2.50e-04
 14/50 | -1.886965 | -1.968929 | 0/12 | 2.50e-04
 15/50 | -1.897911 | -1.913712 | 1/12 | 2.50e-04
 16/50 | -1.905196 | -1.969813 | 0/12 | 2.50e-04
 17/50 | -1.914303 | -1.954868 | 1/12 | 2.50e-04
 18/50 | -1.917430 | -1.938734 | 2/12 | 2.50e-04
 19/50 | -1.928321 | -1.940815 | 3/12 | 2.50e-04
 20/50 | -1.932793 | -1.954263 | 4/12 | 2.50e-04
 21/50 | -1.943229 | -1.925181 | 5/12 | 2.50e-04
 22/50 | -1.949348 | -2.019972 | 0/12 | 2.50e-04
 23/50 | -1.955585 | -1.915919 | 1/12 | 2.50e-04
 24/50 | -1.957182 | -2.038754 | 0/12 | 2.50e-04
 25/50 | -1.962092 | -1.964572 | 1/12 | 2.50e-04
 26/50 | -1.970005 | -1.897281 | 2/12 | 2.50e-04
 27/50 | -1.979070 | -1.952681 | 3/12 | 2.50e-04
 28/50 | -1.984504 | -1.960751 | 4/12 | 2.50e-04
 29/50 | -1.986524 | -1.988572 | 5/12 | 2.50e-04
 30/50 | -1.992531 | -1.960821 | 6/12 | 1.25e-04
 31/50 | -2.003097 | -1.896997 | 7/12 | 1.25e-04
 32/50 | -2.003362 | -1.914020 | 8/12 | 1.25e-04
 33/50 | -2.003098 | -1.980680 | 9/12 | 1.25e-04
 34/50 | -2.007156 | -2.023288 | 10/12 | 1.25e-04
 35/50 | -2.012898 | -2.020868 | 11/12 | 1.25e-04
 36/50 | -2.015417 | -1.966115 | 12/12 | 6.25e-05
