Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.516212 | -2.207857 | 0/12 | 5.00e-04
  2/50 | -1.903025 | -2.334798 | 0/12 | 5.00e-04
  3/50 | -2.040537 | -2.553022 | 0/12 | 5.00e-04
  4/50 | -2.144228 | -2.583800 | 0/12 | 5.00e-04
  5/50 | -2.178294 | -2.585271 | 0/12 | 5.00e-04
  6/50 | -2.229783 | -2.564213 | 1/12 | 5.00e-04
  7/50 | -2.264400 | -2.679086 | 0/12 | 5.00e-04
  8/50 | -2.301708 | -2.703451 | 0/12 | 5.00e-04
  9/50 | -2.338897 | -2.803948 | 0/12 | 5.00e-04
 10/50 | -2.385801 | -2.814356 | 0/12 | 5.00e-04
 11/50 | -2.421038 | -2.870905 | 0/12 | 5.00e-04
 12/50 | -2.444140 | -2.855406 | 1/12 | 5.00e-04
 13/50 | -2.464115 | -2.827818 | 2/12 | 5.00e-04
 14/50 | -2.493671 | -2.730714 | 3/12 | 5.00e-04
 15/50 | -2.521878 | -2.846361 | 4/12 | 5.00e-04
 16/50 | -2.533935 | -2.956230 | 0/12 | 5.00e-04
 17/50 | -2.557823 | -2.961036 | 0/12 | 5.00e-04
 18/50 | -2.582383 | -2.970605 | 0/12 | 5.00e-04
 19/50 | -2.596343 | -2.978161 | 0/12 | 5.00e-04
 20/50 | -2.612408 | -3.008299 | 0/12 | 5.00e-04
 21/50 | -2.627128 | -3.005590 | 1/12 | 5.00e-04
 22/50 | -2.636035 | -3.030176 | 0/12 | 5.00e-04
 23/50 | -2.655321 | -3.013456 | 1/12 | 5.00e-04
 24/50 | -2.657364 | -3.040086 | 0/12 | 5.00e-04
 25/50 | -2.676670 | -2.974349 | 1/12 | 5.00e-04
 26/50 | -2.697749 | -3.076379 | 0/12 | 5.00e-04
 27/50 | -2.711228 | -3.074562 | 1/12 | 5.00e-04
 28/50 | -2.722997 | -3.143454 | 0/12 | 5.00e-04
 29/50 | -2.728527 | -3.104392 | 1/12 | 5.00e-04
 30/50 | -2.739569 | -3.096783 | 2/12 | 5.00e-04
 31/50 | -2.741612 | -3.077540 | 3/12 | 5.00e-04
 32/50 | -2.742686 | -3.091756 | 4/12 | 5.00e-04
 33/50 | -2.748180 | -3.142727 | 5/12 | 5.00e-04
 34/50 | -2.748955 | -3.159437 | 0/12 | 5.00e-04
 35/50 | -2.751768 | -3.119196 | 1/12 | 5.00e-04
 36/50 | -2.757328 | -3.153297 | 2/12 | 5.00e-04
 37/50 | -2.761986 | -3.177532 | 0/12 | 5.00e-04
 38/50 | -2.766052 | -3.179303 | 0/12 | 5.00e-04
 39/50 | -2.779196 | -3.174606 | 1/12 | 5.00e-04
 40/50 | -2.775358 | -3.169691 | 2/12 | 5.00e-04
 41/50 | -2.766130 | -3.193700 | 0/12 | 5.00e-04
 42/50 | -2.774748 | -3.203748 | 0/12 | 5.00e-04
 43/50 | -2.772114 | -3.171158 | 1/12 | 5.00e-04
 44/50 | -2.773914 | -3.130621 | 2/12 | 5.00e-04
 45/50 | -2.780709 | -3.195441 | 3/12 | 5.00e-04
 46/50 | -2.782974 | -3.196630 | 4/12 | 5.00e-04
 47/50 | -2.786038 | -3.186434 | 5/12 | 5.00e-04
 48/50 | -2.782631 | -3.200512 | 6/12 | 2.50e-04
 49/50 | -2.797560 | -3.199385 | 7/12 | 2.50e-04
 50/50 | -2.801810 | -3.182015 | 8/12 | 2.50e-04
