Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -0.966152 | -1.483255 | 0/12 | 5.00e-04
  2/50 | -1.401635 | -1.692537 | 0/12 | 5.00e-04
  3/50 | -1.522182 | -1.796685 | 0/12 | 5.00e-04
  4/50 | -1.578768 | -1.776018 | 1/12 | 5.00e-04
  5/50 | -1.617709 | -1.815920 | 0/12 | 5.00e-04
  6/50 | -1.650925 | -1.890165 | 0/12 | 5.00e-04
  7/50 | -1.677184 | -1.870425 | 1/12 | 5.00e-04
  8/50 | -1.701459 | -1.873901 | 2/12 | 5.00e-04
  9/50 | -1.724781 | -1.903249 | 0/12 | 5.00e-04
 10/50 | -1.747264 | -1.875009 | 1/12 | 5.00e-04
 11/50 | -1.763753 | -1.944124 | 0/12 | 5.00e-04
 12/50 | -1.781808 | -1.951551 | 0/12 | 5.00e-04
 13/50 | -1.804534 | -1.963387 | 0/12 | 5.00e-04
 14/50 | -1.820108 | -1.986113 | 0/12 | 5.00e-04
 15/50 | -1.831260 | -1.976221 | 1/12 | 5.00e-04
 16/50 | -1.846756 | -1.929830 | 2/12 | 5.00e-04
 17/50 | -1.875882 | -2.025892 | 0/12 | 5.00e-04
 18/50 | -1.893667 | -1.981787 | 1/12 | 5.00e-04
 19/50 | -1.907384 | -1.996013 | 2/12 | 5.00e-04
 20/50 | -1.916346 | -2.075934 | 0/12 | 5.00e-04
 21/50 | -1.940936 | -2.113823 | 0/12 | 5.00e-04
 22/50 | -1.952883 | -2.048005 | 1/12 | 5.00e-04
 23/50 | -1.959358 | -2.101903 | 2/12 | 5.00e-04
 24/50 | -1.973193 | -2.078557 | 3/12 | 5.00e-04
 25/50 | -1.989231 | -2.065690 | 4/12 | 5.00e-04
 26/50 | -1.997007 | -2.030395 | 5/12 | 5.00e-04
 27/50 | -2.006602 | -2.064884 | 6/12 | 2.50e-04
 28/50 | -2.026341 | -2.061497 | 7/12 | 2.50e-04
 29/50 | -2.040527 | -2.055092 | 8/12 | 2.50e-04
 30/50 | -2.044923 | -2.036868 | 9/12 | 2.50e-04
 31/50 | -2.053193 | -2.015756 | 10/12 | 2.50e-04
 32/50 | -2.054812 | -2.080161 | 11/12 | 2.50e-04
 33/50 | -2.056081 | -2.053543 | 12/12 | 1.25e-04
