Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.691896 | -2.368006 | 0/12 | 5.00e-04
  2/50 | -1.991291 | -2.450249 | 0/12 | 5.00e-04
  3/50 | -2.130263 | -2.569152 | 0/12 | 5.00e-04
  4/50 | -2.203422 | -2.651092 | 0/12 | 5.00e-04
  5/50 | -2.232943 | -2.620941 | 1/12 | 5.00e-04
  6/50 | -2.257111 | -2.488240 | 2/12 | 5.00e-04
  7/50 | -2.289879 | -2.756486 | 0/12 | 5.00e-04
  8/50 | -2.319674 | -2.752280 | 1/12 | 5.00e-04
  9/50 | -2.349826 | -2.774188 | 0/12 | 5.00e-04
 10/50 | -2.367694 | -2.720954 | 1/12 | 5.00e-04
 11/50 | -2.388064 | -2.767105 | 2/12 | 5.00e-04
 12/50 | -2.402384 | -2.834461 | 0/12 | 5.00e-04
 13/50 | -2.422336 | -2.813019 | 1/12 | 5.00e-04
 14/50 | -2.447403 | -2.816408 | 2/12 | 5.00e-04
 15/50 | -2.470253 | -2.880360 | 0/12 | 5.00e-04
 16/50 | -2.490270 | -2.938677 | 0/12 | 5.00e-04
 17/50 | -2.517515 | -2.895087 | 1/12 | 5.00e-04
 18/50 | -2.527417 | -2.903927 | 2/12 | 5.00e-04
 19/50 | -2.542697 | -2.893500 | 3/12 | 5.00e-04
 20/50 | -2.546168 | -2.937194 | 4/12 | 5.00e-04
 21/50 | -2.567998 | -3.019009 | 0/12 | 5.00e-04
 22/50 | -2.581779 | -2.983319 | 1/12 | 5.00e-04
 23/50 | -2.591058 | -2.985619 | 2/12 | 5.00e-04
 24/50 | -2.602961 | -3.048764 | 0/12 | 5.00e-04
 25/50 | -2.613552 | -3.009896 | 1/12 | 5.00e-04
 26/50 | -2.625432 | -3.022262 | 2/12 | 5.00e-04
 27/50 | -2.628383 | -3.112491 | 0/12 | 5.00e-04
 28/50 | -2.641331 | -3.085579 | 1/12 | 5.00e-04
 29/50 | -2.650909 | -3.046133 | 2/12 | 5.00e-04
 30/50 | -2.654949 | -3.064556 | 3/12 | 5.00e-04
 31/50 | -2.665257 | -3.056114 | 4/12 | 5.00e-04
 32/50 | -2.666208 | -3.032625 | 5/12 | 5.00e-04
 33/50 | -2.674112 | -3.086082 | 6/12 | 2.50e-04
 34/50 | -2.683823 | -3.109924 | 7/12 | 2.50e-04
 35/50 | -2.693004 | -3.059606 | 8/12 | 2.50e-04
 36/50 | -2.692605 | -3.077731 | 9/12 | 2.50e-04
 37/50 | -2.695970 | -3.076503 | 10/12 | 2.50e-04
 38/50 | -2.701018 | -3.070025 | 11/12 | 2.50e-04
 39/50 | -2.708088 | -3.095055 | 12/12 | 1.25e-04
