Epoch | Train NLL | Val NLL | Patience | LR
  1/100 | -1.316594 | -2.110615 | 0/12 | 5.00e-04
  2/100 | -1.785841 | -2.362071 | 0/12 | 5.00e-04
  3/100 | -1.993749 | -2.472404 | 0/12 | 5.00e-04
  4/100 | -2.104380 | -2.549893 | 0/12 | 5.00e-04
  5/100 | -2.201201 | -2.647201 | 0/12 | 5.00e-04
  6/100 | -2.257057 | -2.660089 | 0/12 | 5.00e-04
  7/100 | -2.309000 | -2.669208 | 0/12 | 5.00e-04
  8/100 | -2.336452 | -2.713536 | 0/12 | 5.00e-04
  9/100 | -2.372621 | -2.813418 | 0/12 | 5.00e-04
 10/100 | -2.396382 | -2.764255 | 1/12 | 5.00e-04
 11/100 | -2.414283 | -2.789964 | 2/12 | 5.00e-04
 12/100 | -2.430332 | -2.863972 | 0/12 | 5.00e-04
 13/100 | -2.439401 | -2.865830 | 0/12 | 5.00e-04
 14/100 | -2.464169 | -2.832350 | 1/12 | 5.00e-04
 15/100 | -2.485252 | -2.849668 | 2/12 | 5.00e-04
 16/100 | -2.514262 | -2.830463 | 3/12 | 5.00e-04
 17/100 | -2.533028 | -2.903221 | 0/12 | 5.00e-04
 18/100 | -2.535844 | -2.930291 | 0/12 | 5.00e-04
 19/100 | -2.552108 | -2.943824 | 0/12 | 5.00e-04
 20/100 | -2.570113 | -2.985296 | 0/12 | 5.00e-04
 21/100 | -2.583055 | -2.896384 | 1/12 | 5.00e-04
 22/100 | -2.585751 | -2.947604 | 2/12 | 5.00e-04
 23/100 | -2.598857 | -3.000797 | 0/12 | 5.00e-04
 24/100 | -2.614036 | -2.983506 | 1/12 | 5.00e-04
 25/100 | -2.642559 | -2.955510 | 2/12 | 5.00e-04
 26/100 | -2.644360 | -3.027659 | 0/12 | 5.00e-04
 27/100 | -2.651414 | -3.042355 | 0/12 | 5.00e-04
 28/100 | -2.667706 | -3.062988 | 0/12 | 5.00e-04
 29/100 | -2.680568 | -3.070733 | 0/12 | 5.00e-04
 30/100 | -2.692937 | -3.086050 | 0/12 | 5.00e-04
 31/100 | -2.695915 | -3.083495 | 1/12 | 5.00e-04
 32/100 | -2.700715 | -3.105559 | 0/12 | 5.00e-04
 33/100 | -2.710238 | -3.099302 | 1/12 | 5.00e-04
 34/100 | -2.710035 | -3.101292 | 2/12 | 5.00e-04
 35/100 | -2.717040 | -3.053492 | 3/12 | 5.00e-04
 36/100 | -2.720383 | -3.041612 | 4/12 | 5.00e-04
 37/100 | -2.732897 | -3.114458 | 0/12 | 5.00e-04
 38/100 | -2.741423 | -3.086710 | 1/12 | 5.00e-04
 39/100 | -2.742642 | -3.087722 | 2/12 | 5.00e-04
 40/100 | -2.748693 | -3.149829 | 0/12 | 5.00e-04
 41/100 | -2.759754 | -3.144885 | 1/12 | 5.00e-04
 42/100 | -2.758551 | -3.169039 | 0/12 | 5.00e-04
 43/100 | -2.757736 | -3.162916 | 1/12 | 5.00e-04
 44/100 | -2.763761 | -3.153466 | 2/12 | 5.00e-04
 45/100 | -2.763045 | -3.144973 | 3/12 | 5.00e-04
 46/100 | -2.760238 | -3.134274 | 4/12 | 5.00e-04
 47/100 | -2.766543 | -3.158975 | 5/12 | 5.00e-04
 48/100 | -2.768974 | -3.068206 | 6/12 | 2.50e-04
 49/100 | -2.784849 | -3.189192 | 0/12 | 2.50e-04
 50/100 | -2.795895 | -3.168579 | 1/12 | 2.50e-04
 51/100 | -2.796100 | -3.213738 | 0/12 | 2.50e-04
 52/100 | -2.796147 | -3.193741 | 1/12 | 2.50e-04
 53/100 | -2.793190 | -3.186387 | 2/12 | 2.50e-04
 54/100 | -2.798726 | -3.205742 | 3/12 | 2.50e-04
 55/100 | -2.795422 | -3.194838 | 4/12 | 2.50e-04
 56/100 | -2.798634 | -3.183808 | 5/12 | 2.50e-04
 57/100 | -2.801354 | -3.177747 | 6/12 | 1.25e-04
 58/100 | -2.802374 | -3.205297 | 7/12 | 1.25e-04
 59/100 | -2.807121 | -3.204522 | 8/12 | 1.25e-04
 60/100 | -2.813936 | -3.201908 | 9/12 | 1.25e-04
 61/100 | -2.810287 | -3.221701 | 0/12 | 1.25e-04
 62/100 | -2.807089 | -3.217889 | 1/12 | 1.25e-04
 63/100 | -2.806815 | -3.200917 | 2/12 | 1.25e-04
 64/100 | -2.808738 | -3.195793 | 3/12 | 1.25e-04
 65/100 | -2.806610 | -3.194370 | 4/12 | 1.25e-04
 66/100 | -2.812394 | -3.193110 | 5/12 | 1.25e-04
 67/100 | -2.806442 | -3.206564 | 6/12 | 6.25e-05
 68/100 | -2.814280 | -3.207721 | 7/12 | 6.25e-05
 69/100 | -2.813786 | -3.203116 | 8/12 | 6.25e-05
 70/100 | -2.812462 | -3.211951 | 9/12 | 6.25e-05
 71/100 | -2.814695 | -3.216862 | 10/12 | 6.25e-05
 72/100 | -2.817955 | -3.205084 | 11/12 | 6.25e-05
 73/100 | -2.821762 | -3.203740 | 12/12 | 3.13e-05
