Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.316594 | -2.110615 | 0/12 | 5.00e-04
  2/50 | -1.785841 | -2.362071 | 0/12 | 5.00e-04
  3/50 | -1.993749 | -2.472404 | 0/12 | 5.00e-04
  4/50 | -2.104380 | -2.549893 | 0/12 | 5.00e-04
  5/50 | -2.201201 | -2.647201 | 0/12 | 5.00e-04
  6/50 | -2.257057 | -2.660089 | 0/12 | 5.00e-04
  7/50 | -2.309000 | -2.669208 | 0/12 | 5.00e-04
  8/50 | -2.336452 | -2.713536 | 0/12 | 5.00e-04
  9/50 | -2.372621 | -2.813418 | 0/12 | 5.00e-04
 10/50 | -2.396382 | -2.764255 | 1/12 | 5.00e-04
 11/50 | -2.414283 | -2.789964 | 2/12 | 5.00e-04
 12/50 | -2.430332 | -2.863972 | 0/12 | 5.00e-04
 13/50 | -2.439401 | -2.865830 | 0/12 | 5.00e-04
 14/50 | -2.464169 | -2.832350 | 1/12 | 5.00e-04
 15/50 | -2.485252 | -2.849668 | 2/12 | 5.00e-04
 16/50 | -2.514262 | -2.830463 | 3/12 | 5.00e-04
 17/50 | -2.533028 | -2.903221 | 0/12 | 5.00e-04
 18/50 | -2.535844 | -2.930291 | 0/12 | 5.00e-04
 19/50 | -2.552108 | -2.943824 | 0/12 | 5.00e-04
 20/50 | -2.570113 | -2.985296 | 0/12 | 5.00e-04
 21/50 | -2.583055 | -2.896384 | 1/12 | 5.00e-04
 22/50 | -2.585751 | -2.947604 | 2/12 | 5.00e-04
 23/50 | -2.598857 | -3.000797 | 0/12 | 5.00e-04
 24/50 | -2.614036 | -2.983506 | 1/12 | 5.00e-04
 25/50 | -2.642559 | -2.955510 | 2/12 | 5.00e-04
 26/50 | -2.644360 | -3.027659 | 0/12 | 5.00e-04
 27/50 | -2.651414 | -3.042355 | 0/12 | 5.00e-04
 28/50 | -2.667706 | -3.062988 | 0/12 | 5.00e-04
 29/50 | -2.680568 | -3.070733 | 0/12 | 5.00e-04
 30/50 | -2.692937 | -3.086050 | 0/12 | 5.00e-04
 31/50 | -2.695915 | -3.083495 | 1/12 | 5.00e-04
 32/50 | -2.700715 | -3.105559 | 0/12 | 5.00e-04
 33/50 | -2.710238 | -3.099302 | 1/12 | 5.00e-04
 34/50 | -2.710035 | -3.101292 | 2/12 | 5.00e-04
 35/50 | -2.717040 | -3.053492 | 3/12 | 5.00e-04
 36/50 | -2.720383 | -3.041612 | 4/12 | 5.00e-04
 37/50 | -2.732897 | -3.114458 | 0/12 | 5.00e-04
 38/50 | -2.741423 | -3.086710 | 1/12 | 5.00e-04
 39/50 | -2.742642 | -3.087722 | 2/12 | 5.00e-04
 40/50 | -2.748693 | -3.149829 | 0/12 | 5.00e-04
 41/50 | -2.759754 | -3.144885 | 1/12 | 5.00e-04
 42/50 | -2.758551 | -3.169039 | 0/12 | 5.00e-04
 43/50 | -2.757736 | -3.162916 | 1/12 | 5.00e-04
 44/50 | -2.763761 | -3.153466 | 2/12 | 5.00e-04
 45/50 | -2.763045 | -3.144973 | 3/12 | 5.00e-04
 46/50 | -2.760238 | -3.134274 | 4/12 | 5.00e-04
 47/50 | -2.766543 | -3.158975 | 5/12 | 5.00e-04
 48/50 | -2.768974 | -3.068206 | 6/12 | 2.50e-04
 49/50 | -2.784849 | -3.189192 | 0/12 | 2.50e-04
 50/50 | -2.795895 | -3.168579 | 1/12 | 2.50e-04
