Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.296346 | -1.439006 | 0/12 | 5.00e-04
  2/50 | -1.566660 | -1.694998 | 0/12 | 5.00e-04
  3/50 | -1.586067 | -1.698362 | 0/12 | 5.00e-04
  4/50 | -1.734045 | -1.974943 | 0/12 | 5.00e-04
  5/50 | -1.797131 | -1.946499 | 1/12 | 5.00e-04
  6/50 | -1.860630 | -1.989706 | 0/12 | 5.00e-04
  7/50 | -1.894396 | -2.094372 | 0/12 | 5.00e-04
  8/50 | -1.961626 | -2.211534 | 0/12 | 5.00e-04
  9/50 | -2.006410 | -2.251929 | 0/12 | 5.00e-04
 10/50 | -2.035207 | -2.193556 | 1/12 | 5.00e-04
 11/50 | -2.063364 | -2.323237 | 0/12 | 5.00e-04
 12/50 | -2.099919 | -2.352293 | 0/12 | 5.00e-04
 13/50 | -2.124149 | -2.405492 | 0/12 | 5.00e-04
 14/50 | -2.171395 | -2.483228 | 0/12 | 5.00e-04
 15/50 | -2.208964 | -2.544332 | 0/12 | 5.00e-04
 16/50 | -2.228575 | -2.512209 | 1/12 | 5.00e-04
 17/50 | -2.249817 | -2.601841 | 0/12 | 5.00e-04
 18/50 | -2.274147 | -2.650298 | 0/12 | 5.00e-04
 19/50 | -2.306845 | -2.570710 | 1/12 | 5.00e-04
 20/50 | -2.353508 | -2.660567 | 0/12 | 5.00e-04
 21/50 | -2.386323 | -2.723824 | 0/12 | 5.00e-04
 22/50 | -2.415382 | -2.717632 | 1/12 | 5.00e-04
 23/50 | -2.432063 | -2.718551 | 2/12 | 5.00e-04
 24/50 | -2.456672 | -2.721116 | 3/12 | 5.00e-04
 25/50 | -2.484512 | -2.822420 | 0/12 | 5.00e-04
 26/50 | -2.507609 | -2.866194 | 0/12 | 5.00e-04
 27/50 | -2.525890 | -2.862818 | 1/12 | 5.00e-04
 28/50 | -2.548727 | -2.892369 | 0/12 | 5.00e-04
 29/50 | -2.570763 | -2.830725 | 1/12 | 5.00e-04
 30/50 | -2.575303 | -2.928800 | 0/12 | 5.00e-04
 31/50 | -2.584904 | -2.868130 | 1/12 | 5.00e-04
 32/50 | -2.598317 | -2.883759 | 2/12 | 5.00e-04
 33/50 | -2.609628 | -2.849921 | 3/12 | 5.00e-04
 34/50 | -2.614146 | -2.923269 | 4/12 | 5.00e-04
 35/50 | -2.615731 | -2.889419 | 5/12 | 5.00e-04
 36/50 | -2.628186 | -2.865790 | 6/12 | 2.50e-04
 37/50 | -2.665251 | -2.904087 | 7/12 | 2.50e-04
 38/50 | -2.676890 | -2.900028 | 8/12 | 2.50e-04
 39/50 | -2.685706 | -2.850074 | 9/12 | 2.50e-04
 40/50 | -2.692978 | -2.882598 | 10/12 | 2.50e-04
 41/50 | -2.696228 | -2.724906 | 11/12 | 2.50e-04
 42/50 | -2.700440 | -2.807685 | 12/12 | 1.25e-04
