Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.218994 | -1.338855 | 0/12 | 5.00e-04
  2/50 | -1.445002 | -1.434053 | 0/12 | 5.00e-04
  3/50 | -1.460359 | -1.465957 | 0/12 | 5.00e-04
  4/50 | -1.562709 | -1.696463 | 0/12 | 5.00e-04
  5/50 | -1.635510 | -1.804914 | 0/12 | 5.00e-04
  6/50 | -1.733728 | -1.901969 | 0/12 | 5.00e-04
  7/50 | -1.805544 | -1.981534 | 0/12 | 5.00e-04
  8/50 | -1.852077 | -2.088696 | 0/12 | 5.00e-04
  9/50 | -1.889958 | -2.139063 | 0/12 | 5.00e-04
 10/50 | -1.938677 | -2.191725 | 0/12 | 5.00e-04
 11/50 | -1.959015 | -2.260550 | 0/12 | 5.00e-04
 12/50 | -2.003232 | -2.273339 | 0/12 | 5.00e-04
 13/50 | -2.034390 | -2.293218 | 0/12 | 5.00e-04
 14/50 | -2.080406 | -2.367742 | 0/12 | 5.00e-04
 15/50 | -2.105357 | -2.354268 | 1/12 | 5.00e-04
 16/50 | -2.128330 | -2.413052 | 0/12 | 5.00e-04
 17/50 | -2.168079 | -2.451197 | 0/12 | 5.00e-04
 18/50 | -2.184774 | -2.470568 | 0/12 | 5.00e-04
 19/50 | -2.219965 | -2.448022 | 1/12 | 5.00e-04
 20/50 | -2.239428 | -2.499802 | 0/12 | 5.00e-04
 21/50 | -2.257494 | -2.591058 | 0/12 | 5.00e-04
 22/50 | -2.276175 | -2.586328 | 1/12 | 5.00e-04
 23/50 | -2.298772 | -2.661172 | 0/12 | 5.00e-04
 24/50 | -2.317458 | -2.646716 | 1/12 | 5.00e-04
 25/50 | -2.339124 | -2.654470 | 2/12 | 5.00e-04
 26/50 | -2.359255 | -2.718958 | 0/12 | 5.00e-04
 27/50 | -2.379345 | -2.669630 | 1/12 | 5.00e-04
 28/50 | -2.397422 | -2.643587 | 2/12 | 5.00e-04
 29/50 | -2.424888 | -2.676271 | 3/12 | 5.00e-04
 30/50 | -2.446659 | -2.742660 | 0/12 | 5.00e-04
 31/50 | -2.462866 | -2.734111 | 1/12 | 5.00e-04
 32/50 | -2.480015 | -2.706925 | 2/12 | 5.00e-04
 33/50 | -2.488033 | -2.729024 | 3/12 | 5.00e-04
 34/50 | -2.500543 | -2.757444 | 0/12 | 5.00e-04
 35/50 | -2.509886 | -2.815933 | 0/12 | 5.00e-04
 36/50 | -2.520857 | -2.766723 | 1/12 | 5.00e-04
 37/50 | -2.533240 | -2.756716 | 2/12 | 5.00e-04
 38/50 | -2.542914 | -2.905606 | 0/12 | 5.00e-04
 39/50 | -2.555294 | -2.773868 | 1/12 | 5.00e-04
 40/50 | -2.560809 | -2.824261 | 2/12 | 5.00e-04
 41/50 | -2.563830 | -2.790009 | 3/12 | 5.00e-04
 42/50 | -2.570604 | -2.815674 | 4/12 | 5.00e-04
 43/50 | -2.574496 | -2.785673 | 5/12 | 5.00e-04
 44/50 | -2.581736 | -2.728725 | 6/12 | 2.50e-04
 45/50 | -2.623283 | -2.848634 | 7/12 | 2.50e-04
 46/50 | -2.634659 | -2.875567 | 8/12 | 2.50e-04
 47/50 | -2.644334 | -2.896777 | 9/12 | 2.50e-04
 48/50 | -2.644109 | -2.811363 | 10/12 | 2.50e-04
 49/50 | -2.653901 | -2.751367 | 11/12 | 2.50e-04
 50/50 | -2.667170 | -2.804826 | 12/12 | 1.25e-04
