Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.331979 | -2.068340 | 0/12 | 5.00e-04
  2/50 | -1.848805 | -2.366357 | 0/12 | 5.00e-04
  3/50 | -2.018388 | -2.537521 | 0/12 | 5.00e-04
  4/50 | -2.160451 | -2.622995 | 0/12 | 5.00e-04
  5/50 | -2.257816 | -2.653292 | 0/12 | 5.00e-04
  6/50 | -2.312097 | -2.732685 | 0/12 | 5.00e-04
  7/50 | -2.347205 | -2.764885 | 0/12 | 5.00e-04
  8/50 | -2.385024 | -2.750251 | 1/12 | 5.00e-04
  9/50 | -2.406888 | -2.668058 | 2/12 | 5.00e-04
 10/50 | -2.417250 | -2.841573 | 0/12 | 5.00e-04
 11/50 | -2.444377 | -2.922535 | 0/12 | 5.00e-04
 12/50 | -2.463128 | -2.856804 | 1/12 | 5.00e-04
 13/50 | -2.486181 | -2.861119 | 2/12 | 5.00e-04
 14/50 | -2.507910 | -2.858866 | 3/12 | 5.00e-04
 15/50 | -2.515277 | -2.848871 | 4/12 | 5.00e-04
 16/50 | -2.545237 | -2.938108 | 0/12 | 5.00e-04
 17/50 | -2.563760 | -2.860117 | 1/12 | 5.00e-04
 18/50 | -2.575714 | -2.975157 | 0/12 | 5.00e-04
 19/50 | -2.575225 | -2.951808 | 1/12 | 5.00e-04
 20/50 | -2.603887 | -2.993718 | 0/12 | 5.00e-04
 21/50 | -2.615424 | -3.016841 | 0/12 | 5.00e-04
 22/50 | -2.629299 | -3.040785 | 0/12 | 5.00e-04
 23/50 | -2.632069 | -3.011544 | 1/12 | 5.00e-04
 24/50 | -2.649428 | -3.071114 | 0/12 | 5.00e-04
 25/50 | -2.659434 | -3.066454 | 1/12 | 5.00e-04
 26/50 | -2.665093 | -3.010610 | 2/12 | 5.00e-04
 27/50 | -2.674527 | -3.024269 | 3/12 | 5.00e-04
 28/50 | -2.683098 | -3.132351 | 0/12 | 5.00e-04
 29/50 | -2.696153 | -2.945778 | 1/12 | 5.00e-04
 30/50 | -2.700278 | -3.117685 | 2/12 | 5.00e-04
 31/50 | -2.711281 | -3.103710 | 3/12 | 5.00e-04
 32/50 | -2.724581 | -3.159905 | 0/12 | 5.00e-04
 33/50 | -2.721840 | -3.090715 | 1/12 | 5.00e-04
 34/50 | -2.732639 | -3.127639 | 2/12 | 5.00e-04
 35/50 | -2.737292 | -3.071762 | 3/12 | 5.00e-04
 36/50 | -2.746724 | -3.154216 | 4/12 | 5.00e-04
 37/50 | -2.763032 | -3.144581 | 5/12 | 5.00e-04
 38/50 | -2.767546 | -3.135151 | 6/12 | 2.50e-04
 39/50 | -2.777922 | -3.178976 | 0/12 | 2.50e-04
 40/50 | -2.777510 | -3.176472 | 1/12 | 2.50e-04
 41/50 | -2.779155 | -3.189027 | 0/12 | 2.50e-04
 42/50 | -2.789373 | -3.178659 | 1/12 | 2.50e-04
 43/50 | -2.786615 | -3.194689 | 0/12 | 2.50e-04
 44/50 | -2.784585 | -3.208134 | 0/12 | 2.50e-04
 45/50 | -2.793123 | -3.190733 | 1/12 | 2.50e-04
 46/50 | -2.786884 | -3.165604 | 2/12 | 2.50e-04
 47/50 | -2.793618 | -3.169136 | 3/12 | 2.50e-04
 48/50 | -2.794798 | -3.170888 | 4/12 | 2.50e-04
 49/50 | -2.794283 | -3.188751 | 5/12 | 2.50e-04
 50/50 | -2.796837 | -3.179034 | 6/12 | 1.25e-04
