Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.343155 | -1.903317 | 0/12 | 5.00e-04
  2/50 | -1.779162 | -2.280211 | 0/12 | 5.00e-04
  3/50 | -1.944750 | -2.391336 | 0/12 | 5.00e-04
  4/50 | -2.056250 | -2.403996 | 0/12 | 5.00e-04
  5/50 | -2.160908 | -2.553058 | 0/12 | 5.00e-04
  6/50 | -2.208212 | -2.617216 | 0/12 | 5.00e-04
  7/50 | -2.265931 | -2.654130 | 0/12 | 5.00e-04
  8/50 | -2.305245 | -2.703595 | 0/12 | 5.00e-04
  9/50 | -2.341232 | -2.706225 | 0/12 | 5.00e-04
 10/50 | -2.375151 | -2.756120 | 0/12 | 5.00e-04
 11/50 | -2.407607 | -2.842924 | 0/12 | 5.00e-04
 12/50 | -2.443332 | -2.853405 | 0/12 | 5.00e-04
 13/50 | -2.464881 | -2.880896 | 0/12 | 5.00e-04
 14/50 | -2.481905 | -2.843111 | 1/12 | 5.00e-04
 15/50 | -2.518370 | -2.913376 | 0/12 | 5.00e-04
 16/50 | -2.534285 | -2.920725 | 0/12 | 5.00e-04
 17/50 | -2.556148 | -2.874641 | 1/12 | 5.00e-04
 18/50 | -2.564681 | -3.006125 | 0/12 | 5.00e-04
 19/50 | -2.589332 | -2.975280 | 1/12 | 5.00e-04
 20/50 | -2.601296 | -2.959113 | 2/12 | 5.00e-04
 21/50 | -2.622916 | -3.047492 | 0/12 | 5.00e-04
 22/50 | -2.639511 | -3.006642 | 1/12 | 5.00e-04
 23/50 | -2.650650 | -3.027633 | 2/12 | 5.00e-04
 24/50 | -2.661006 | -3.052201 | 0/12 | 5.00e-04
 25/50 | -2.676890 | -3.022523 | 1/12 | 5.00e-04
 26/50 | -2.683530 | -3.044995 | 2/12 | 5.00e-04
 27/50 | -2.690207 | -3.094664 | 0/12 | 5.00e-04
 28/50 | -2.704622 | -3.088229 | 1/12 | 5.00e-04
 29/50 | -2.715214 | -3.099678 | 0/12 | 5.00e-04
 30/50 | -2.725650 | -3.110084 | 0/12 | 5.00e-04
 31/50 | -2.729601 | -3.105694 | 1/12 | 5.00e-04
 32/50 | -2.741534 | -3.150227 | 0/12 | 5.00e-04
 33/50 | -2.740009 | -3.071338 | 1/12 | 5.00e-04
 34/50 | -2.746533 | -3.115530 | 2/12 | 5.00e-04
 35/50 | -2.749901 | -3.131529 | 3/12 | 5.00e-04
 36/50 | -2.763638 | -3.197620 | 0/12 | 5.00e-04
 37/50 | -2.771351 | -3.182719 | 1/12 | 5.00e-04
 38/50 | -2.782961 | -3.197182 | 2/12 | 5.00e-04
 39/50 | -2.778048 | -3.194881 | 3/12 | 5.00e-04
 40/50 | -2.783326 | -3.180436 | 4/12 | 5.00e-04
 41/50 | -2.785009 | -3.194484 | 5/12 | 5.00e-04
 42/50 | -2.786625 | -3.205266 | 0/12 | 5.00e-04
 43/50 | -2.779004 | -3.209221 | 0/12 | 5.00e-04
 44/50 | -2.801266 | -3.196769 | 1/12 | 5.00e-04
 45/50 | -2.801331 | -3.162958 | 2/12 | 5.00e-04
 46/50 | -2.805667 | -3.203454 | 3/12 | 5.00e-04
 47/50 | -2.800633 | -3.189788 | 4/12 | 5.00e-04
 48/50 | -2.797629 | -3.213293 | 0/12 | 5.00e-04
 49/50 | -2.804815 | -3.217371 | 0/12 | 5.00e-04
 50/50 | -2.802209 | -3.132502 | 1/12 | 5.00e-04
