Epoch | Train NLL | Val NLL | Patience | LR
  1/100 | -1.522415 | -2.154389 | 0/12 | 5.00e-04
  2/100 | -1.891363 | -2.494167 | 0/12 | 5.00e-04
  3/100 | -2.016740 | -2.378467 | 1/12 | 5.00e-04
  4/100 | -2.126819 | -2.509918 | 0/12 | 5.00e-04
  5/100 | -2.182886 | -2.586176 | 0/12 | 5.00e-04
  6/100 | -2.204049 | -2.595272 | 0/12 | 5.00e-04
  7/100 | -2.249311 | -2.708578 | 0/12 | 5.00e-04
  8/100 | -2.297768 | -2.695830 | 1/12 | 5.00e-04
  9/100 | -2.337946 | -2.738153 | 0/12 | 5.00e-04
 10/100 | -2.343473 | -2.714125 | 1/12 | 5.00e-04
 11/100 | -2.369658 | -2.736162 | 2/12 | 5.00e-04
 12/100 | -2.403377 | -2.757029 | 0/12 | 5.00e-04
 13/100 | -2.440404 | -2.830273 | 0/12 | 5.00e-04
 14/100 | -2.450576 | -2.827407 | 1/12 | 5.00e-04
 15/100 | -2.485669 | -2.844117 | 0/12 | 5.00e-04
 16/100 | -2.505003 | -2.899983 | 0/12 | 5.00e-04
 17/100 | -2.518022 | -2.904698 | 0/12 | 5.00e-04
 18/100 | -2.550049 | -2.951072 | 0/12 | 5.00e-04
 19/100 | -2.561128 | -2.928181 | 1/12 | 5.00e-04
 20/100 | -2.585331 | -3.013740 | 0/12 | 5.00e-04
 21/100 | -2.606589 | -3.006979 | 1/12 | 5.00e-04
 22/100 | -2.615069 | -2.999113 | 2/12 | 5.00e-04
 23/100 | -2.636942 | -3.027286 | 0/12 | 5.00e-04
 24/100 | -2.649168 | -3.043760 | 0/12 | 5.00e-04
 25/100 | -2.667683 | -3.022079 | 1/12 | 5.00e-04
 26/100 | -2.678298 | -3.075440 | 0/12 | 5.00e-04
 27/100 | -2.685830 | -3.064375 | 1/12 | 5.00e-04
 28/100 | -2.705130 | -3.086232 | 0/12 | 5.00e-04
 29/100 | -2.711867 | -3.085626 | 1/12 | 5.00e-04
 30/100 | -2.728851 | -3.116959 | 0/12 | 5.00e-04
 31/100 | -2.731403 | -3.155207 | 0/12 | 5.00e-04
 32/100 | -2.746980 | -3.145532 | 1/12 | 5.00e-04
 33/100 | -2.747420 | -3.132072 | 2/12 | 5.00e-04
 34/100 | -2.752981 | -3.126392 | 3/12 | 5.00e-04
 35/100 | -2.760328 | -3.137193 | 4/12 | 5.00e-04
 36/100 | -2.762994 | -3.157711 | 0/12 | 5.00e-04
 37/100 | -2.767609 | -3.161949 | 0/12 | 5.00e-04
 38/100 | -2.776285 | -3.159245 | 1/12 | 5.00e-04
 39/100 | -2.784897 | -3.183720 | 0/12 | 5.00e-04
 40/100 | -2.776562 | -3.190505 | 0/12 | 5.00e-04
 41/100 | -2.780156 | -3.175666 | 1/12 | 5.00e-04
 42/100 | -2.785513 | -3.160729 | 2/12 | 5.00e-04
 43/100 | -2.788178 | -3.203733 | 0/12 | 5.00e-04
 44/100 | -2.790811 | -3.197609 | 1/12 | 5.00e-04
 45/100 | -2.787307 | -3.211833 | 0/12 | 5.00e-04
 46/100 | -2.791639 | -3.171536 | 1/12 | 5.00e-04
 47/100 | -2.791824 | -3.173217 | 2/12 | 5.00e-04
 48/100 | -2.792908 | -3.184765 | 3/12 | 5.00e-04
 49/100 | -2.791799 | -3.182734 | 4/12 | 5.00e-04
 50/100 | -2.795525 | -3.148612 | 5/12 | 5.00e-04
 51/100 | -2.793642 | -3.209921 | 6/12 | 2.50e-04
 52/100 | -2.807633 | -3.191588 | 7/12 | 2.50e-04
 53/100 | -2.813173 | -3.204087 | 8/12 | 2.50e-04
 54/100 | -2.812622 | -3.211040 | 9/12 | 2.50e-04
 55/100 | -2.816677 | -3.198781 | 10/12 | 2.50e-04
 56/100 | -2.809477 | -3.219542 | 0/12 | 2.50e-04
 57/100 | -2.818915 | -3.205134 | 1/12 | 2.50e-04
 58/100 | -2.817602 | -3.223052 | 0/12 | 2.50e-04
 59/100 | -2.807246 | -3.195178 | 1/12 | 2.50e-04
 60/100 | -2.822666 | -3.198178 | 2/12 | 2.50e-04
 61/100 | -2.814926 | -3.197819 | 3/12 | 2.50e-04
 62/100 | -2.818195 | -3.211719 | 4/12 | 2.50e-04
 63/100 | -2.814271 | -3.227187 | 0/12 | 2.50e-04
 64/100 | -2.814201 | -3.193930 | 1/12 | 2.50e-04
 65/100 | -2.817167 | -3.202345 | 2/12 | 2.50e-04
 66/100 | -2.819234 | -3.198853 | 3/12 | 2.50e-04
 67/100 | -2.821675 | -3.207137 | 4/12 | 2.50e-04
 68/100 | -2.813516 | -3.204734 | 5/12 | 2.50e-04
 69/100 | -2.819369 | -3.201986 | 6/12 | 1.25e-04
 70/100 | -2.828446 | -3.229804 | 0/12 | 1.25e-04
 71/100 | -2.827546 | -3.232592 | 0/12 | 1.25e-04
 72/100 | -2.824140 | -3.230523 | 1/12 | 1.25e-04
 73/100 | -2.826412 | -3.210787 | 2/12 | 1.25e-04
 74/100 | -2.825108 | -3.223725 | 3/12 | 1.25e-04
 75/100 | -2.828594 | -3.204062 | 4/12 | 1.25e-04
 76/100 | -2.830192 | -3.212213 | 5/12 | 1.25e-04
 77/100 | -2.829542 | -3.209692 | 6/12 | 6.25e-05
 78/100 | -2.833707 | -3.232710 | 0/12 | 6.25e-05
 79/100 | -2.835465 | -3.229139 | 1/12 | 6.25e-05
 80/100 | -2.834401 | -3.222167 | 2/12 | 6.25e-05
 81/100 | -2.829463 | -3.228518 | 3/12 | 6.25e-05
 82/100 | -2.839845 | -3.232584 | 4/12 | 6.25e-05
 83/100 | -2.829682 | -3.236444 | 0/12 | 6.25e-05
 84/100 | -2.834114 | -3.223726 | 1/12 | 6.25e-05
 85/100 | -2.837048 | -3.237446 | 0/12 | 6.25e-05
 86/100 | -2.836937 | -3.228177 | 1/12 | 6.25e-05
 87/100 | -2.836505 | -3.232509 | 2/12 | 6.25e-05
 88/100 | -2.835502 | -3.219344 | 3/12 | 6.25e-05
 89/100 | -2.838334 | -3.225712 | 4/12 | 6.25e-05
 90/100 | -2.832658 | -3.233576 | 5/12 | 6.25e-05
 91/100 | -2.834365 | -3.227399 | 6/12 | 3.13e-05
 92/100 | -2.834338 | -3.229500 | 7/12 | 3.13e-05
 93/100 | -2.841397 | -3.237571 | 0/12 | 3.13e-05
 94/100 | -2.837246 | -3.233458 | 1/12 | 3.13e-05
 95/100 | -2.836939 | -3.231228 | 2/12 | 3.13e-05
 96/100 | -2.835926 | -3.228809 | 3/12 | 3.13e-05
 97/100 | -2.838090 | -3.227963 | 4/12 | 3.13e-05
 98/100 | -2.838210 | -3.233006 | 5/12 | 3.13e-05
 99/100 | -2.832963 | -3.225733 | 6/12 | 1.56e-05
100/100 | -2.835530 | -3.228290 | 7/12 | 1.56e-05
