lag,acf
1,0.9893161963489081
2,0.9608630779972
3,0.9181428013121127
4,0.8651788811868381
5,0.8056906551530139
6,0.7429430105279272
7,0.6795769733729791
8,0.6175356070271781
9,0.5582185192214513
10,0.5025930481333896
11,0.45132988058275275
12,0.4050173263083101
13,0.3641395995429725
14,0.32915118382126557
15,0.3003017983178053
16,0.27730990317639564
17,0.25944282664232476
18,0.2456847348196201
19,0.2350486191242926
20,0.22661743191271022
21,0.21983786946901937
22,0.21455223851590524
23,0.21083822765140894
24,0.2088066857008634
25,0.20849204545240363
26,0.2098397888575232
27,0.21271044351006876
28,0.2169724756276039
29,0.22273693828432758
30,0.2305080619251209
31,0.24116366184629418
32,0.2556996305311907
33,0.27514874141443973
34,0.300239210728893
35,0.33125790660070004
36,0.36797077269957884
37,0.40989039114942455
38,0.456519536651953
39,0.5072502502259583
40,0.561394333295718
41,0.6179298284452477
42,0.6755170566710225
43,0.7321831699436574
44,0.7854917722810952
45,0.8323382541257034
46,0.8694498481574403
47,0.8931279382033707
48,0.9005111204900709
49,0.8898969986398164
50,0.8629133661542189
51,0.822379689309972
52,0.7719952319917555
53,0.7151246777012509
54,0.654917873748474
55,0.5938879665878398
56,0.5340190278257844
57,0.4766713070180486
58,0.42290382313591685
59,0.3734010900857471
60,0.32874568414611105
61,0.28940447433419914
62,0.25580195172794645
63,0.22811382888884474
64,0.20601888252366268
65,0.18876205895099646
66,0.17534653274798304
67,0.16480734226739854
68,0.15629051879208547
69,0.14931174053201787
70,0.1437609515408565
71,0.13980300204070745
72,0.1376138538636445
73,0.1372257027188768
74,0.13857390028266375
75,0.14144053064246276
76,0.14560192150567317
77,0.15110243768280202
78,0.15842068382279537
79,0.1684101781668504
80,0.1820988499882149
81,0.200514798874624
82,0.2244485327301578
83,0.25425063169030715
84,0.2897406484629557
85,0.3304710793058909
86,0.37593398850436266
87,0.425516467377077
88,0.47850560414661675
89,0.5338205580096828
90,0.5900611133135375
91,0.6452170052618357
92,0.6968891941608043
93,0.7420797205354829
94,0.7777194952073545
95,0.8004653358803349
96,0.807741575909501
97,0.7980631728349117
98,0.772883508171172
99,0.7347792987262276
100,0.6871355773630707
101,0.6330691064407333
102,0.5755900579681437
103,0.5171283930855489
104,0.459669253480204
105,0.4045992098340601
106,0.3529969661584993
107,0.3055850219537452
108,0.2629590765012327
109,0.22555607370392897
110,0.19383675847346565
111,0.16793001763990792
112,0.14747035839790415
113,0.1316545149934725
114,0.11947632512603094
115,0.10996730006440306
116,0.1023169628172771
