year,mean_nd
2009,35965.668120766844
2010,36575.837527415446
2011,35150.82555086197
2012,35277.46970934983
2013,34885.63117935837
2014,33170.2920424706
2015,32224.054287019066
2016,31376.01434589548
2017,30373.703333713893
2018,30247.255166114854
2019,29358.035392168054
2020,27157.129682340885
2021,28346.087681242152
2022,26622.87846786163
2023,26052.304372645278
2024,26042.506495894104
