,tsd,nd,england_wales_demand,embedded_wind_generation,embedded_solar_generation,embedded_wind_capacity,embedded_solar_capacity,pump_storage_pumping,ifa_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,is_holiday,is_weekend
tsd,1.0,0.9744819620634093,0.9750199717262021,0.08664021761838328,0.12133421566717051,-0.16499510163329056,-0.12629720498557723,-0.42415543660331845,0.14368314086114278,0.2562449064586683,-0.07127090640381577,-0.02791469243583406,0.20369201147227292,-0.07798988774285931,-0.27096057495252335
nd,0.9744819620634093,1.0,0.9974820111943971,0.06759146506845386,0.15468649822744604,-0.2277837433058121,-0.18509395605900994,-0.45654874103639576,0.25476600277887507,0.33909961737504923,-0.07605984816408551,-0.01823962378552935,0.3082065819326546,-0.07650555743155733,-0.23972733172864824
england_wales_demand,0.9750199717262021,0.9974820111943971,1.0,0.10575411813104874,0.13431094152521503,-0.22092599816222694,-0.17671617026242112,-0.443927034137204,0.23915730888266457,0.324389734077498,-0.06095908991665859,-0.003945780349530731,0.29125143090528766,-0.08426051768060859,-0.24170881205043507
embedded_wind_generation,0.08664021761838328,0.06759146506845386,0.10575411813104874,1.0,0.017005880998210158,-0.044445705631418544,0.026895505857008787,0.0921894203837479,-0.18702582606173468,-0.06324909497965495,0.2108580883966519,0.24073841810460908,-0.10384087938292964,-0.036964284204185606,0.005680567883333766
embedded_solar_generation,0.12133421566717051,0.15468649822744604,0.13431094152521503,0.017005880998210158,1.0,0.056148469715404575,0.02026321853047809,-0.3948009093923835,0.10041217003578251,0.17325326736293498,-0.1916426037217903,-0.16511491731606676,0.1818971965423119,0.0018066939985798797,0.0008448213820658521
embedded_wind_capacity,-0.16499510163329056,-0.2277837433058121,-0.22092599816222694,-0.044445705631418544,0.056148469715404575,1.0,0.7427680520610065,-0.09137250847697762,-0.21712625455516876,-0.20078514766224148,-0.09019980512429003,-0.21043594442488595,-0.12706737276185742,0.006872815802913119,0.0004313860387810688
embedded_solar_capacity,-0.12629720498557723,-0.18509395605900994,-0.17671617026242112,0.026895505857008787,0.02026321853047809,0.7427680520610065,1.0,-0.0934923546166084,-0.17514925162063327,-0.21011918604262497,-0.21867747390313444,-0.33922364627753576,-0.1614675246917661,-0.0047977024478004,0.00015558544772703798
pump_storage_pumping,-0.42415543660331845,-0.45654874103639576,-0.443927034137204,0.0921894203837479,-0.3948009093923835,-0.09137250847697762,-0.0934923546166084,1.0,-0.09852374285443774,-0.13378198167659205,0.13841596889550653,0.11844915601576896,-0.1492618766800377,0.012882528172137286,0.05185586671265121
ifa_flow,0.14368314086114278,0.25476600277887507,0.23915730888266457,-0.18702582606173468,0.10041217003578251,-0.21712625455516876,-0.17514925162063327,-0.09852374285443774,1.0,0.28130287201957344,-0.2739669981956953,-0.22505483213224042,0.5265732399992292,0.008806535429759434,0.07343916541154236
britned_flow,0.2562449064586683,0.33909961737504923,0.324389734077498,-0.06324909497965495,0.17325326736293498,-0.20078514766224148,-0.21011918604262497,-0.13378198167659205,0.28130287201957344,1.0,-0.14972142521880794,-0.1030074745960075,0.5598734185065398,-0.03681387432020837,0.06198928350491265
moyle_flow,-0.07127090640381577,-0.07605984816408551,-0.06095908991665859,0.2108580883966519,-0.1916426037217903,-0.09019980512429003,-0.21867747390313444,0.13841596889550653,-0.2739669981956953,-0.14972142521880794,1.0,0.8048872105654528,-0.20101031237506944,-0.0010042673364692768,0.027335311913805036
east_west_flow,-0.02791469243583406,-0.01823962378552935,-0.003945780349530731,0.24073841810460908,-0.16511491731606676,-0.21043594442488595,-0.33922364627753576,0.11844915601576896,-0.22505483213224042,-0.1030074745960075,0.8048872105654528,1.0,-0.17621951592639967,-0.002679783057793207,0.024207717959486136
nemo_flow,0.20369201147227292,0.3082065819326546,0.29125143090528766,-0.10384087938292964,0.1818971965423119,-0.12706737276185742,-0.1614675246917661,-0.1492618766800377,0.5265732399992292,0.5598734185065398,-0.20101031237506944,-0.17621951592639967,1.0,-0.005039634103071541,0.10520874669530454
is_holiday,-0.07798988774285931,-0.07650555743155733,-0.08426051768060859,-0.036964284204185606,0.0018066939985798797,0.006872815802913119,-0.0047977024478004,0.012882528172137286,0.008806535429759434,-0.03681387432020837,-0.0010042673364692768,-0.002679783057793207,-0.005039634103071541,1.0,-0.08235993445913237
is_weekend,-0.27096057495252335,-0.23972733172864824,-0.24170881205043507,0.005680567883333766,0.0008448213820658521,0.0004313860387810688,0.00015558544772703798,0.05185586671265121,0.07343916541154236,0.06198928350491265,0.027335311913805036,0.024207717959486136,0.10520874669530454,-0.08235993445913237,1.0
