Epoch | Train NLL | Val NLL | Patience | LR
  1/50 | -1.522415 | -2.154389 | 0/12 | 5.00e-04
  2/50 | -1.891363 | -2.494167 | 0/12 | 5.00e-04
  3/50 | -2.016740 | -2.378467 | 1/12 | 5.00e-04
  4/50 | -2.126819 | -2.509918 | 0/12 | 5.00e-04
  5/50 | -2.182886 | -2.586176 | 0/12 | 5.00e-04
  6/50 | -2.204049 | -2.595272 | 0/12 | 5.00e-04
  7/50 | -2.249311 | -2.708578 | 0/12 | 5.00e-04
  8/50 | -2.297768 | -2.695830 | 1/12 | 5.00e-04
  9/50 | -2.337946 | -2.738153 | 0/12 | 5.00e-04
 10/50 | -2.343473 | -2.714125 | 1/12 | 5.00e-04
 11/50 | -2.369658 | -2.736162 | 2/12 | 5.00e-04
 12/50 | -2.403377 | -2.757029 | 0/12 | 5.00e-04
 13/50 | -2.440404 | -2.830273 | 0/12 | 5.00e-04
 14/50 | -2.450576 | -2.827407 | 1/12 | 5.00e-04
 15/50 | -2.485669 | -2.844117 | 0/12 | 5.00e-04
 16/50 | -2.505003 | -2.899983 | 0/12 | 5.00e-04
 17/50 | -2.518022 | -2.904698 | 0/12 | 5.00e-04
 18/50 | -2.550049 | -2.951072 | 0/12 | 5.00e-04
 19/50 | -2.561128 | -2.928181 | 1/12 | 5.00e-04
 20/50 | -2.585331 | -3.013740 | 0/12 | 5.00e-04
 21/50 | -2.606589 | -3.006979 | 1/12 | 5.00e-04
 22/50 | -2.615069 | -2.999113 | 2/12 | 5.00e-04
 23/50 | -2.636942 | -3.027286 | 0/12 | 5.00e-04
 24/50 | -2.649168 | -3.043760 | 0/12 | 5.00e-04
 25/50 | -2.667683 | -3.022079 | 1/12 | 5.00e-04
 26/50 | -2.678298 | -3.075440 | 0/12 | 5.00e-04
 27/50 | -2.685830 | -3.064375 | 1/12 | 5.00e-04
 28/50 | -2.705130 | -3.086232 | 0/12 | 5.00e-04
 29/50 | -2.711867 | -3.085626 | 1/12 | 5.00e-04
 30/50 | -2.728851 | -3.116959 | 0/12 | 5.00e-04
 31/50 | -2.731403 | -3.155207 | 0/12 | 5.00e-04
 32/50 | -2.746980 | -3.145532 | 1/12 | 5.00e-04
 33/50 | -2.747420 | -3.132072 | 2/12 | 5.00e-04
 34/50 | -2.752981 | -3.126392 | 3/12 | 5.00e-04
 35/50 | -2.760328 | -3.137193 | 4/12 | 5.00e-04
 36/50 | -2.762994 | -3.157711 | 0/12 | 5.00e-04
 37/50 | -2.767609 | -3.161949 | 0/12 | 5.00e-04
 38/50 | -2.776285 | -3.159245 | 1/12 | 5.00e-04
 39/50 | -2.784897 | -3.183720 | 0/12 | 5.00e-04
 40/50 | -2.776562 | -3.190505 | 0/12 | 5.00e-04
 41/50 | -2.780156 | -3.175666 | 1/12 | 5.00e-04
 42/50 | -2.785513 | -3.160729 | 2/12 | 5.00e-04
 43/50 | -2.788178 | -3.203733 | 0/12 | 5.00e-04
 44/50 | -2.790811 | -3.197609 | 1/12 | 5.00e-04
 45/50 | -2.787307 | -3.211833 | 0/12 | 5.00e-04
 46/50 | -2.791639 | -3.171536 | 1/12 | 5.00e-04
 47/50 | -2.791824 | -3.173217 | 2/12 | 5.00e-04
 48/50 | -2.792908 | -3.184765 | 3/12 | 5.00e-04
 49/50 | -2.791799 | -3.182734 | 4/12 | 5.00e-04
 50/50 | -2.795525 | -3.148612 | 5/12 | 5.00e-04
